cisp;mes;ano;pop
89;3;2003;108413,75
90;3;2003;172608,65
91;3;2003;67742,22
92;3;2003;7864,42
93;3;2003;246166,85
94;3;2003;43466,66
95;3;2003;32215,03
96;3;2003;49401,48
97;3;2003;17459,03
98;3;2003;12441,60
99;3;2003;25760,07
100;3;2003;24408,87
104;3;2003;19532,95
105;3;2003;245884,20
106;3;2003;43125,58
107;3;2003;38357,36
108;3;2003;91669,71
109;3;2003;17254,39
110;3;2003;144515,96
111;3;2003;14365,66
112;3;2003;15834,59
118;3;2003;89775,05
119;3;2003;51192,31
120;3;2003;21287,37
121;3;2003;25108,67
122;3;2003;19402,01
123;3;2003;174167,15
124;3;2003;57570,82
125;3;2003;69051,18
126;3;2003;165417,00
127;3;2003;20343,59
128;3;2003;48557,04
129;3;2003;16863,86
134;3;2003;267040,39
135;3;2003;22975,22
136;3;2003;47742,74
137;3;2003;27004,89
138;3;2003;7794,27
139;3;2003;16415,90
140;3;2003;23371,01
141;3;2003;36988,62
142;3;2003;14711,71
143;3;2003;121218,95
144;3;2003;34114,84
145;3;2003;28953,09
146;3;2003;195584,86
151;3;2003;175688,54
152;3;2003;10489,78
153;3;2003;19833,67
154;3;2003;24058,01
155;3;2003;8530,82
156;3;2003;10434,45
157;3;2003;10104,35
158;3;2003;23338,01
159;3;2003;50010,95
165;3;2003;27577,76
166;3;2003;131022,74
167;3;2003;31496,64
168;3;2003;16539,17
1;4;2003;1548,17
4;4;2003;29847,25
5;4;2003;35725,01
6;4;2003;76416,96
7;4;2003;38732,81
9;4;2003;129178,44
10;4;2003;97703,66
12;4;2003;86809,10
13;4;2003;65743,80
14;4;2003;84028,97
15;4;2003;140393,41
16;4;2003;288087,44
17;4;2003;76000,57
18;4;2003;64089,81
19;4;2003;131879,68
20;4;2003;155262,47
21;4;2003;251979,97
22;4;2003;226918,05
23;4;2003;87299,77
24;4;2003;91806,58
25;4;2003;122980,40
26;4;2003;110189,66
27;4;2003;179791,08
28;4;2003;162993,70
29;4;2003;99158,30
30;4;2003;119066,05
31;4;2003;149833,86
32;4;2003;349266,27
33;4;2003;229983,49
34;4;2003;405096,93
35;4;2003;563707,71
36;4;2003;295241,36
37;4;2003;201182,32
38;4;2003;197588,82
39;4;2003;166937,39
40;4;2003;105600,98
41;4;2003;135408,67
44;4;2003;112258,51
48;4;2003;68592,81
50;4;2003;88724,00
51;4;2003;42207,22
52;4;2003;173516,18
53;4;2003;168133,06
54;4;2003;443802,46
55;4;2003;212674,63
56;4;2003;258199,87
57;4;2003;154724,56
58;4;2003;341670,82
59;4;2003;328982,12
60;4;2003;264294,01
61;4;2003;56360,63
62;4;2003;146963,82
64;4;2003;451987,27
65;4;2003;122198,24
66;4;2003;130620,14
71;4;2003;222705,32
